"Code","Definition"
"U-2523","TREATMENT OF MS WITH AN ADMIXTURE OF (A) AN AMORPHOUS INCLUSION COMPLEX OF CLADRIBINE (2CDA) AND CYCLODEXTRIN AND (B) AMORPHOUS FREE 2CDA AND CYCLODEXTRIN AS A NON-INCLUSION COMPLEX, FORMULATED AS A SOLID ORAL FORM, W/O SIGN. AMOUNTS OF CRYST. 2CDA"
"U-2524","TREATMENT OF THE CARDIOMYOPATHY OF WILD TYPE OR HEREDITARY TRANSTHYRETIN-MEDIATED AMYLOIDOSIS (ATTR-CM)"
"U-2525","TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER WITH SYMPTOMS OF URINARY FREQUENCY, URGENCY OR URGE INCONTINENCE"
"U-2526","ACUTE TREATMENT OF INTERMITTENT, STEREOTYPIC EPISODES OF FREQUENT SEIZURE ACTIVITY (I.E., SEIZURE CLUSTERS, ACUTE REPETITIVE SEIZURES) THAT ARE DISTINCT FROM A PATIENT'S USUAL SEIZURE PATTERN IN PATIENTS WITH EPILEPSY 12 YEARS OF AGE AND OLDER"
"U-2527","TREATMENT OF CYSTIC FIBROSIS USING IVACAFTOR IN A PATIENT AGE 6 MONTHS TO <6 YEARS WHO HAS ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA"
"U-2528","TREATMENT OF CYSTIC FIBROSIS USING IVACAFTOR IN A PATIENT AGE 6 MONTHS TO <6 YEARS WHO HAS A R117H MUTATION IN THE CFTR GENE"
"U-2529","TREATMENT OF A MODERATE MILD CLINICAL PHENOTYPE OF CF USING IVACAFTOR IN A PATIENT AGE 6 MONTHS TO <6 YEARS WHO HAS ONE CFTR MUTATION RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA"
"U-2530","TREATMENT OF CF IN A PATIENT AGE 6 MONTHS TO < 6 YEARS WHO HAS ONE CFTR MUTATION RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA USING A SOLID COMPOSITION COMPRISING AMORPHOUS (LESS THAN ABOUT 30% CRYSTALLINE) IVACAFTOR"
"U-2531","TREATMENT OF CF IN A PATIENT AGE 6 MONTHS TO <6 YEARS WHO HAS ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA USING THE COMPOSITION RECITED IN CLAIM 1 OF US 10272046"
"U-2532","TREATMENT OF CHRONIC HEPATITIS C VIRUS (HCV) GENOTYPE 1, 2, 3, 4, OR 6 IN ADULT AND PEDIATRIC PATIENTS 12 YEARS AND OLDER OR WEIGHING AT LEAST 45 KG"
"U-2533","A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS RELAPSED OR REFRACTORY ACUTE MYELOID LEUKEMIA (AML)"
"U-2534","A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML)"
"U-2535","USE IN COMBINATION WITH METHYLPREDNISOLONE FOR THE TREATMENT OF PATIENTS WITH PROSTATE CANCER"
"U-2536","FOR TREATMENT OF STEROID-REFRACTORY ACUTE GRAFT-VERSUS-HOST DISEASE"
"U-2537","TREATMENT OF ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL)"
"U-2538","TREATMENT OF ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LEUKEMIA (SLL) IN COMBINATION WITH A GA101 ANTIBODY SUCH AS OBINUTUZUMAB FOR ONE OR MORE DOSING PERIODS, WHEREIN THE CLL OR SLL IS A CD20-EXPRESSING CANCER"
"U-2539","IN COMBINATION WITH FULVESTRANT FOR TREATMENT OF POSTMENOPAUSAL WOMEN, AND MEN, WITH HR-POSITIVE, HER-2-NEGATIVE, PIK3CA-MUTATED, ADVANCED OR METASTATIC BREAST CANCER"
"U-2540","TREATMENT OF HORMONE RECEPTOR POSITIVE ADVANCED BREAST CANCER IN POSTMENOPAUSAL WOMEN"
"U-2541","REDUCING THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION (MI), AND STROKE IN A PATIENT RECEIVING 75-100 MG ASPIRIN DAILY WITH A HISTORY OF MI BY ADMINISTERING 60 MG TICAGRELOR TWICE DAILY"
"U-2542","REDUCING THE RATE OF CARDIOVASCULAR DEATH, MYOCARDIAL INFARCTION, AND STROKE IN A PATIENT RECEIVING 75-100 MG ASPIRIN DAILY AND HAVING OR WHO HAD ACUTE CORONARY SYNDROME BY ADMINISTERING 60 MG TICAGRELOR TWICE DAILY"
"U-2543","TREATMENT OF SCHIZOPHRENIA WITH CARIPRAZINE"
"U-2544","TREATMENT OF ACUTE MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER WITH CARIPRAZINE"
"U-2545","TREATMENT OF DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER (BIPOLAR DEPRESSION) WITH CARIPRAZINE"
"U-2546","USE FOR THE MAINTENANCE TREATMENT OF PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA"
"U-2547","METHOD OF PROVIDING CONTRACEPTION IN A WOMAN HAVING A BMI OF 25 KG/M2 OR MORE WITH RESULTANT LIMITED BLEEDING EVENTS PER TREATMENT CYCLE"
"U-2548","TO IMPROVE WAKEFULNESS IN ADULT PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY OR OBSTRUCTIVE SLEEP APNEA (OSA)"
"U-2549","CONTROL OF SERUM PHOSPHORUS LEVELS"
"U-2550","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PREVIOUSLY TREATED FOLLICULAR LYMPHOMA IN COMBINATION WITH A RITUXIMAB PRODUCT"
"U-2551","USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PREVIOUSLY TREATED MARGINAL ZONE LYMPHOMA IN COMBINATION WITH A RITUXIMAB PRODUCT"
"U-2552","METHOD OF TREATING POSTPARTUM DEPRESSION"
"U-2553","PREVENTION OF PREGNANCY IN FEMALES OF REPRODUCTIVE AGE"
"U-2554","TREATMENT OF MILD TO MODERATE ACTIVE CROHN'S DISEASE INVOLVING THE ILEUM AND/OR THE ASCENDING COLON"
"U-2555","A METHOD OF TREATING IRON DEFICIENCY ANEMIA IN ADULT PATIENTS WHO HAVE INTOLERANCE TO ORAL IRON OR HAVE HAD UNSATISFACTORY RESPONSE TO ORAL IRON BY INTRAVENOUSLY ADMINISTERING FERRIC CARBOXYMALTOSE TO PROVIDE AT LEAST ABOUT 0.6 G OF ELEMENTAL IRON"
"U-2556","METHOD OF TREATING IRON DEFICIENCY ANEMIA IN ADULTS WHO HAVE INTOLERANCE TO OR HAVE HAD UNSATISFACTORY RESPONSE TO ORAL IRON ASSOCIATED WITH HEAVY UTERINE BLEEDING OR A GASTROINTESTINAL DISORDER BY INTRAVENOUSLY ADMINISTERING FERRIC CARBOXYMALTOSE"
"U-2557","A METHOD OF TREATING IRON DEFICIENCY ANEMIA IN ADULT PATIENTS WHO HAVE NON-DIALYSIS DEPENDENT CHRONIC KIDNEY DISEASE BY INTRAVENOUSLY ADMINISTERING FERRIC CARBOXYMALTOSE TO PROVIDE AT LEAST ABOUT 0.6 GRAMS OF ELEMENTAL IRON"
"U-2558","TREATMENT OF PATIENTS WITH LOCALLY ADVANCED METASTATIC BREAST CANCER AFTER FAILURE OF PRIOR CHEMOTHERAPY"
"U-2559","USE IN COMBINATION WITH DOXORUBICIN AND CYCLOPHOSPHAMIDE FOR ADJUVANT TREATMENT OF PATIENTS WITH OPERABLE NODE-POSITIVE BREAST CANCER"
"U-2560","TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER AFTER FAILURE OF PRIOR PLATINUM-BASED CHEMOTHERAPY"
"U-2561","USE IN COMBINATION WITH CISPLATIN FOR TREATMENT OF UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER WITHOUT PRIOR CHEMOTHERAPY TREATMENT"
"U-2562","TREATMENT OF PATIENTS WITH ANDROGEN INDEPENDENT (HORMONE REFRACTORY) METASTATIC PROSTATE CANCER IN COMBINATION WITH PREDNISONE"
"U-2563","TREATMENT OF ADVANCED GASTRIC ADENOCARCINOMA IN COMBINATION WITH CISPLATIN AND FLUOROURACIL IN PATIENTS THAT HAVE NOT RECEIVED PRIOR CHEMOTHERAPY"
"U-2564","TREATMENT OF PATIENTS WITH LOCALLY ADVANCED SQUAMOUS CELL CARCINOMA OF THE HEAD AND NECK IN COMBINATION WITH CISPLATIN AND FLUOROURACIL"
"U-2565","TREATMENT OF HOSPITAL-ACQUIRED BACTERIAL PNEUMONIA"
"U-2566","TREATMENT OF VENTILATOR-ASSOCIATED BACTERIAL PNEUMONIA"
"U-2567","ONCE DAILY TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM, WHERE THE PATIENT EXPERIENCES NO REBOUND OR WORSENING OF FACIAL ERYTHEMA POST-TREATMENT"
"U-2568","TREATMENT OF HYPOACTIVE SEXUAL DESIRE DISORDER (HSDD)"
"U-2569","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 YEARS AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVE AT LEAST ONE CFTR MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH AN EFFECTIVE AMOUNT OF TEZACAFTOR AND IVACAFTOR"
"U-2570","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 6 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,206,877"
"U-2571","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 6 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,081,621"
"U-2572","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS 6 YEARS AND OLDER, WITH A F508DEL OR G551D CFTR GENE MUTATION AND A A455E, 2789+5G->, OR 3849+10KBC->T MUTATION, COMPRISING CONCURRENT COADMINISTRATION OF THE COMPOSITIONS OF CLAIM 1 OF U.S. PATENT 10058546"
"U-2573","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 YEARS AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HETEROZYGOUS FOR F508DEL AND A SECOND CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
"U-2574","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVE AT LEAST ONE CFTR GENE MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
"U-2575","TREATING CYSTIC FIBROSIS PATIENTS AGES 6 AND OLDER, WHO ARE HOMOZYGOUS FOR F508DEL OR HAVE AT LEAST 1 CFTR GENE MUTATION RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS (<30% CRYSTALLINE) IVACAFTOR"
"U-2576","TREATMENT OF COMMUNITY ACQUIRED BACTERIAL PNEUMONIA"
"U-2577","TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC IMMUNE THROMBOCYTOPENIA WHO HAS HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT"
"U-2578","TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC LIVER DISEASE WHO IS SCHEDULED TO UNDERGO A PROCEDURE"
"U-2579","REDUCTION IN A SUBJECT'S RISK OF EXPERIENCING A BREAKTHROUGH OVERT HEPATIC ENCEPHALOPATHY (HE) EPISODE"
"U-2580","A METHOD OF TREATING TYPE 2 DIABETES COMPRISING ADMINISTERING SEMAGLUTIDE ONCE WEEKLY IN A AMOUNT OF 1.0 MG TO A SUBJECT IN NEED THEREOF"
"U-2581","TREATING HYPOTENSION WITH ABOUT 20 NG/KG/MIN TO ABOUT 40 NG/KG/MIN ANGIOTENSIN II IN A HUMAN SUBJECT HAVING SEPTIC SHOCK"
"U-2582","FOR THE ORAL PREVENTION/PROPHYLAXIS OF MALARIA IN ADULTS, COMPRISING A THREE-PHASE DOSING REGIMEN CONSISTING OF A LOADING/INITIAL DOSE, A MAINTENANCE/EXPOSURE DOSE, AND A TERMINAL/POST-EXPOSURE DOSE"
"U-2583","TREATMENT OF BACTERIAL VAGINOSIS IN ADULT WOMEN"
"U-2584","XPOVIO IS INDICATED IN COMBINATION WITH DEXAMETHASONE TO TREAT RELAPSED OR REFRACTORY MULTIPLE MYELOMA (REFRACTORY TO AT LEAST AN ANTI-CD38 MAB, 2 PROTEASOME INHIBITORS AND 2 IMMUNOMODULATORY AGENTS) IN ADULTS WHO RECEIVED AT LEAST 4 PRIOR THERAPIES"
"U-2585","TREATMENT OF PARENTERAL NUTRITION-ASSOCIATED CHOLESTASIS IN PATIENTS UNDER THE AGE OF 12"
"U-2586","TREATMENT OF COMPLICATED URINARY TRACT INFECTIONS, INCLUDING PYELONEPHRITIS (CUTI)"
"U-2587","TREATMENT OF COMPLICATED INTRA-ABDOMINAL INFECTIONS (CIAI)"
"U-2588","AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH DAPAGLIFLOZIN AND METFORMIN"
"U-2589","AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH BASAL INSULIN OR BASAL INSULIN PLUS METFORMIN"
"U-2590","AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH METFORMIN, A SULFONYLUREA, A THIAZOLIDINEDIONE, OR COMBINATION OF ANY TWO OF THESE THERAPIES"
"U-2591","LOWERING PLASMA GLUCAGON IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING EXENATIDE AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2592","IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING A SUSTAINED-RELEASE EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2593","IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION ONCE WEEKLY AS AN ADJUNCT TO DIET AND EXERCISE TO ACHIEVE A MEAN STEADY STATE PLASMA CONCENTRATION OF EXENATIDE AT LEAST 170 PG/ML"
"U-2594","REDUCING FASTING PLASMA GLUCOSE IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION ONCE WEEKLY AS AN ADJUNCT TO DIET AND EXERCISE TO ACHIEVE A MEAN STEADY STATE PLASMA CONCENTRATION OF EXENATIDE AT LEAST 170 PG/ML"
"U-2595","REDUCING BODY WEIGHT IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION ONCE WEEKLY AS AN ADJUNCT TO DIET AND EXERCISE TO ACHIEVE A MEAN STEADY STATE PLASMA CONCENTRATION OF EXENATIDE AT LEAST 170 PG/ML"
"U-2596","REDUCING HBA1C IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION ONCE WEEKLY AS AN ADJUNCT TO DIET AND EXERCISE TO ACHIEVE A MEAN STEADY STATE PLASMA CONCENTRATION OF EXENATIDE AT LEAST 170 PG/ML"
"U-2597","AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH DAPAGLIFLOZIN AS ADD-ON TO METFORMIN"
"U-2598","IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN INJECTABLE SUSTAINED RELEASE FORMULATION OF EXENATIDE AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2599","IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE TO PROVIDE A RELEASE PROFILE HAVING A RATIO OF C-MAX TO C-AVG OF ABOUT 3 OR LESS"
"U-2600","IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING A PRE-MIXED EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2601","STIMULATING INSULIN RELEASE IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING A PRE-MIXED EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2602","DELAYING GASTRIC EMPTYING IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING A PRE-MIXED EXENATIDE FORMULATION AS AN ADJUNCT TO DIET AND EXERCISE"
"U-2603","METHOD OF TREATING IRON DEFICIENCY"
"U-2604","TREATMENT OF SEVERE HYPOGLYCEMIA IN PATIENTS WITH DIABETES"
"U-2605","TREATMENT OF PATIENTS WITH NON-METASTATIC CASTRATION RESISTANT PROSTATE CANCER"
"U-2606","TREATMENT OF ADULT PATIENTS WITH SYMPTOMATIC TENOSYNOVIAL GIANT CELL TUMOR (TGCT) ASSOCIATED WITH SEVERE MORBIDITY OR FUNCTIONAL LIMITATIONS AND NOT AMENABLE TO IMPROVEMENT WITH SURGERY"
"U-2607","TREATMENT OF ADULT PATIENTS WITH INTERMEDIATE-2 OR HIGH-RISK PRIMARY OR SECONDARY MYELOFIBROSIS"
"U-2608","METHOD OF TREATING SCHIZOPHRENIA"
"U-2609","A METHOD FOR INDUCING A REGIONAL ANAESTHESIA VIA INTRATHECAL ADMINISTRATION OF A PATENTED PRESERVATIVE FREE SOLUTION FOR INJECTION (WITH A SPECIFIC COMPOSITION, PH, OSMOLALITY AND DENSITY) CONTAINING 9-11 MG/ML CHLOROPROCAINE HCL"
"U-2610","TREATMENT OF COMPLICATED INTRA-ABDOMINAL INFECTION IN PATIENTS WITH END-STAGE RENAL DISEASE ON HEMODIALYSIS"
"U-2611","TREATMENT OF COMPLICATED URINARY TRACT INFECTION IN PATIENTS WITH END-STAGE RENAL DISEASE ON HEMODIALYSIS"
"U-2612","TREATMENT OF RELAPSING FORMS OF MULTIPLE SCLEROSIS (MS), TO INCLUDE CLINICALLY ISOLATED SYNDROME, RELAPSING-REMITTING DISEASE, AND ACTIVE SECONDARY PROGRESSIVE DISEASE, IN PATIENTS 10 YEARS OF AGE AND OLDER"
"U-2613","TREATMENT OF RELAPSING-REMITTING SCLEROSIS (MS)"
"U-2614","TREATMENT OF MODERATE TO SEVERE DYSPAREUNIA"
"U-2615","TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY AVOIDING THE ADMINISTRATION OF TASIMELTEON WITH FOOD"
"U-2616","TREATMENT OF ADULTS WITH MODERATELY TO SEVERELY ACTIVE RHEUMATOID ARTHRITIS WHO HAVE HAD AN INADEQUATE RESPONSE OR INTOLERANCE TO METHOTREXATE"
"U-2617","TREATMENT OF ROS1-POSITIVE NON-SMALL CELL LUNG CANCER"
"U-2618","TREATMENT OF SOLID TUMORS THAT HAVE A NEUROTROPHIC TYROSINE RECEPTOR KINASE (NTRK) GENE FUSION"
"U-2619","TREATMENT OF ADULTS WITH COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA CAUSED BY SUSCEPTIBLE MICROORGANISMS"
"U-2620","USE OF NINTEDANIB FOR SLOWING THE RATE OF DECLINE IN PULMONARY FUNCTION IN PATIENTS WITH SYSTEMIC SCLEROSIS-ASSOCIATED INTERSTITIAL LUNG DISEASE (SSC-ILD)"
"U-2621","MODIFIED DOSING REGIMEN FOR THE MANAGEMENT OF MILD TO MODERATE PAIN"
"U-2622","TREATMENT OF ACUTE UNCOMPLICATED INFLUENZA IN PATIENTS 2 YEARS AND OLDER"
"U-2623","A METHOD OF REDUCING OFF TIME FROM L-DOPA THERAPY, COMPRISING ADMINISTERING, TO A HUMAN PATIENT WITH PARKINSON'S DISEASE, AN EFFECTIVE AMOUNT OF ISTRADEFYLLINE, WHEREIN THE PATIENT CURRENTLY RECEIVES SAID L-DOPA THERAPY"
"U-2624","TREATMENT OF METASTATIC CASTRATION-SENSITIVE PROSTATE CANCER (MCSPC)"
"U-2625","TOPICAL TREATMENT OF PLAQUE PSORIASIS IN ADULTS"
"U-2626","METHOD OF TREATING IRRITABLE BOWEL SYNDROME WITH CONSTIPATION BY ADMINISTERING TENAPANOR"
"U-2627","TOPICAL TREATMENT OF PLAQUE PSORIASIS IN PATIENTS 12 YEARS AND OLDER"
"U-2628","METHOD OF TREATING TYPE 2 DIABETES MELLITUS"
"U-2629","TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS AS A REPLACEMENT THERAPY IN VIROLOGICALLY SUPPRESSED ADULTS WITH NO HISTORY OF TREATMENT FAILURE AND NO KNOWN SUBSTITUTIONS ASSOCIATED WITH RESISTANCE TO THE INDIVIDUAL COMPONENTS OF DELSTRIGO"
"U-2630","FOR USE IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 AS A REPLACEMENT THERAPY IN VIROLOGICALLY SUPPRESSED ADULTS WITH NO HISTORY OF TREATMENT FAILURE AND NO KNOWN SUBSTITUTIONS ASSOCIATED WITH RESISTANCE TO DORAVIRINE"
"U-2631","TREATMENT OF COMPLICATED URINARY TRACT INFECTION"
"U-2632","REDUCTION OF RISK OF END STAGE KIDNEY DISEASE, DOUBLING OF SERUM CREATININE, CARDIOVASCULAR DEATH, AND HOSPITALIZATION FOR HEART FAILURE IN THE TREATMENT OF TYPE 2 DIABETES MELLITUS PATIENTS"
"U-2633","TREATMENT OF ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER, PROGRESSED ON: CRIZOTINIB + AT LEAST 1 OTHER ALK INHIBITOR FOR METASTATIC DISEASE; OR ALECTINIB, OR CERITINIB AS FIRST ALK INHIBITOR FOR METASTATIC DISEASE."
"U-2634","METHOD OF TREATMENT IN PATIENTS WITH CONCOMITANT ANGIOEDEMA"
"U-2635","TREATMENT OF ACUTE URTICARIA"
"U-2636","METHOD OF INCREASING PEAK PLASMA OR ONSET OF PLASMA CONCENTRATION BY INTRAVENOUS INJECTION IN INDIVIDUALS IN NEED OF TREATMENT FOR ACUTE URTICARIA"
"U-2637","TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER WITH SYMPTOMS OF URINARY FREQUENCY, URGENCY, OR URGE INCONTINENCE WITH A SINGLE UNIT DOSE OF 10% OXYBUTYNIN CHLORIDE GEL"
"U-2638","INCREASE PAIN-FREE LIGHT EXPOSURE IN ADULT PATIENTS WITH A HISTORY OF PHOTOTOXIC REACTIONS FROM ERYTHROPOIETIC PROTOPORPHYRIA (EPP)"
"U-2639","METHOD OF ACTIVATING RARGAMMA RECEPTOR"
"U-2640","PROPHYLAXIS OF VENOUS THROMBOEMBOLISM IN ACUTELY ILL MEDICAL PATIENTS AT RISK FOR THROMBOEMBOLIC COMPLICATIONS NOT AT HIGH RISK OF BLEEDING"
"U-2641","PROPHYLAXIS OF VENOUS THROMBOEMBOLISM IN ACUTELY ILL MEDICAL PATIENTS AT RISK FOR THROMBOEMBOLIC COMPLICATIONS NOT AT HIGH RISK OF BLEEDING WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST 5 CONSECUTIVE DAYS"
"U-2642","METHOD OF TREATING CANCER BY DETECTING A CREATININE CLEARANCE OF A PATIENT AND ADMINISTERING LONSURF"
"U-2643","TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS 65 YEARS OF AGE OR OLDER AND SYMPTOMS THEREOF"
"U-2644","TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS 65 YEARS OF AGE OR OLDER"
"U-2645","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
"U-2646","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE ONE F508DEL MUTATION AND ONE R117H MUTATION IN THE CFTR GENE WITH ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
"U-2647","TREATMENT OF NON-NODULAR ACNE VULGARIS"
"U-2648","TREATMENT OF A MODERATE TO MILD CLINICAL PHENOTYPE OF CF IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
"U-2649","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH A COMPOSITION COMPRISING ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR; AND ANOTHER COMPOSITION COMPRISING IVACAFTOR"
"U-2650","TREATMENT OF CF IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE USING A SOLID COMPOSITION COMPRISING ELEXACAFTOR, TEZACAFTOR, AMORPHOUS IVACAFTOR, AND LESS THAN ABOUT 30% CRYSTALLINE IVACAFTOR"
"U-2651","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH AN EFFECTIVE AMOUNT OF A PHARMACEUTICAL COMPOSITION COMPRISING ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
"U-2652","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH A COMPOSITION ACCORDING TO CLAIM 1 OF US 10081621"
"U-2653","TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE WITH AN EFFECTIVE AMOUNT OF ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
"U-2654","TREATMENT OF REFRACTORY CHRONIC GRAFT-VERSUS-HOST DISEASE"
